# T = 0.7, rho = 6.5, N_c = 13
#shear rate	peak_po
0.1                0.35
0.08                0.308
0.06                0.291
0.04                0.268
0.02                0.24
0.01                0.22
0.008                0.216
0.006                0.21
0.004                0.198
0.002                0.187
0.001                0.1805
0.0001                0.171
0.00001                0.1632
0.000001                0.1599
